"Biome_Name","Ecoregion Count (#)","Area (M ha)","Ecoregion Intact (#)","Intact Area (M ha)","Intact % (by area)","Intact % (by ecoregion)"
"Boreal Forests/Taiga",26,1540.04397235867,26,1540.04397235867,1,1
"Tundra",32,849.564714218318,32,849.564714218318,1,1
"Deserts & Xeric Shrublands",97,2628.45043315377,54,2098.14732473301,0.798244965272382,0.556701030927835
"Temperate Conifer Forests",47,377.049955141004,26,258.766409762151,0.686292111254547,0.553191489361702
"Montane Grasslands & Shrublands",46,486.89700725226,17,257.430965769711,0.528717494532342,0.369565217391304
"Tropical & Subtropical Grasslands, Savannas & Shrublands",54,2131.48653661039,14,271.172959840797,0.12722245962296,0.259259259259259
"Tropical & Subtropical Moist Broadleaf Forests",216,1950.05235822541,49,802.265201131307,0.411407005431067,0.226851851851852
"Temperate Broadleaf & Mixed Forests",80,1258.29749378744,13,144.935025165238,0.1151834330759,0.1625
"Mediterranean Forests, Woodlands & Scrub",40,329.627658116157,6,23.9157043385499,0.0725536942962542,0.15
"Flooded Grasslands & Savannas",25,115.14047173243,3,7.91309628881299,0.0687255851027071,0.12
"Tropical & Subtropical Coniferous Forests",15,68.1422171620479,1,0.686981639391347,0.010081586247152,0.0666666666666667
"Temperate Grasslands, Savannas & Shrublands",46,1059.04504113177,3,86.2540222715349,0.0814450933827688,0.0652173913043478
"Mangroves",19,33.1039275392982,1,2.66994674309677,0.0806534735169181,0.0526315789473684
"Tropical & Subtropical Dry Broadleaf Forests",55,386.44425650354,1,3.15768927436117,0.00817113780634553,0.0181818181818182
